	tweet_id	rating_numerator	rating_denominator
78	876120275196170240	13.0	10.0
79	875747767867523072	13.0	10.0
80	875144289856114688	13.0	10.0
81	875097192612077568	13.0	10.0
82	875021211251597312	12.0	10.0
83	874680097055178752	12.0	10.0
84	874296783580663808	13.0	10.0
85	874057562936811520	12.0	10.0
86	874012996292530176	13.0	10.0
87	873580283840344065	13.0	10.0
88	873213775632977920	12.0	10.0
89	872967104147763200	12.0	10.0
90	872820683541237760	13.0	10.0
91	872620804844003328	13.0	10.0
92	872486979161796608	12.0	10.0
93	872261713294495745	13.0	10.0
94	872122724285648897	12.0	10.0
95	871879754684805121	13.0	10.0
96	871762521631449091	12.0	10.0
97	871515927908634625	12.0	10.0
98	871102520638267392	14.0	10.0
99	871032628920680449	13.0	10.0
100	870804317367881728	11.0	10.0
101	870726314365509632	10.0	10.0
102	870656317836468226	13.0	10.0
103	870374049280663552	13.0	10.0
104	870308999962521604	13.0	10.0
105	870063196459192321	14.0	10.0
106	869772420881756160	13.0	10.0
107	869702957897576449	13.0	10.0
108	869596645499047938	12.0	10.0
109	869227993411051520	13.0	10.0
110	868880397819494401	14.0	10.0
111	868622495443632128	13.0	10.0
112	868552278524837888	12.0	10.0
113	867900495410671616	12.0	10.0
114	867774946302451713	13.0	10.0
115	867421006826221569	12.0	10.0
116	867051520902168576	13.0	10.0
117	866720684873056260	13.0	10.0
118	866686824827068416	12.0	10.0
119	866450705531457537	13.0	10.0
120	866334964761202691	12.0	10.0
121	865718153858494464	13.0	10.0
122	865359393868664832	13.0	10.0
123	865006731092295680	13.0	10.0
124	864873206498414592	14.0	10.0
125	864279568663928832	12.0	10.0
126	864197398364647424	13.0	10.0
127	863907417377173506	13.0	10.0
128	863553081350529029	13.0	10.0
129	863432100342583297	12.0	10.0
130	863427515083354112	12.0	10.0
131	863079547188785154	14.0	10.0
132	863062471531167744	13.0	10.0
133	862831371563274240	13.0	10.0
134	862722525377298433	11.0	10.0
135	862457590147678208	13.0	10.0
136	862096992088072192	13.0	10.0
137	861383897657036800	13.0	10.0
138	861288531465048066	13.0	10.0
139	861005113778896900	12.0	10.0
140	860563773140209665	13.0	10.0
141	860524505164394496	13.0	10.0
142	860276583193509888	12.0	10.0
143	860184849394610176	14.0	10.0
144	859924526012018688	12.0	10.0
145	859851578198683649	13.0	10.0
146	859607811541651456	13.0	10.0
147	859196978902773760	12.0	10.0
148	859074603037188101	13.0	10.0
149	858843525470990336	13.0	10.0
150	858471635011153920	13.0	10.0
151	858107933456039936	12.0	10.0
152	857989990357356544	12.0	10.0
153	857746408056729600	13.0	10.0
154	857393404942143489	13.0	10.0
155	857263160327368704	13.0	10.0
156	857214891891077121	12.0	10.0
157	857029823797047296	12.0	10.0
158	856543823941562368	12.0	10.0
159	856526610513747968	14.0	10.0
160	856288084350160898	14.0	10.0
161	856282028240666624	14.0	10.0
162	855862651834028034	420.0	10.0
163	855860136149123072	666.0	10.0
164	855857698524602368	13.0	10.0
165	855851453814013952	13.0	10.0
166	855818117272018944	13.0	10.0
167	855459453768019968	12.0	10.0
168	854732716440526848	12.0	10.0
169	854482394044301312	13.0	10.0
170	854365224396361728	13.0	10.0
171	854120357044912130	14.0	10.0
172	854010172552949760	11.0	10.0
173	853760880890318849	12.0	10.0
174	853639147608842240	13.0	10.0
175	853299958564483072	13.0	10.0
176	852912242202992640	12.0	10.0
177	852672615818899456	12.0	10.0
